user,total_sessions,avg_click_per_sesssion,flights_booked_success,hotels_booked_success,cancellations_count,trip_touched,avg_flight_discount_amount,avg_hotel_discount_amount,avg_flight_base_fare_usd,avg_hotel_price_per_room_night_usd,avg_hotel_night,distinct_airlines_used,birthdate,gender,is_married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,age_years,tenure_days,conversion_rate_per_session,cancellation_rate_on_bookings,preferred_airline,preferred_destination,avg_session_duration_min,sessions_per_month,avg_trip_length_days,return_flight_ratio,avg_checked_bags,avg_seats,avg_rooms_per_booking,hotel_booking_ratio,avg_checkin_gap_days,promo_responsiveness,loyalty_index,is_high_canceller,is_multi_booker,is_family_traveler,R_raw,F_raw,M_raw,R_score,F_score,M_score,RFM_sum,RFM_loyalty,CLTV,CLTV_level,persona,perk_offer
23557,8,10.25,0,2,0,2,,0.175,,177.0,10.0,0,1958-12-08,F,True,False,usa,new york,LGA,40.777,-73.872,2021-07-22,66,1536,0.25,0.0,,,1.2770833333333333,1.1428571428571428,,,,,1.5,1.0,12.816666666666666,0.5,1.0,,,True,1536,2,1770.0,1,1,5.0,7.0,Low,3540.0,Med,Discount Hunter,💸 Special Discount Codes & Flash Deals
94883,8,9.125,2,2,0,2,,0.1,432.045,90.0,0.5,2,1972-03-16,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-02-07,53,1336,0.5,0.0,Delta Air Lines,LRF,1.1291666666666667,1.6,1.5,1.0,0.5,1.5,1.5,1.0,7.312864756944444,0.0,2.0,,True,True,1336,4,477.045,1,2,1.0,4.0,Low,1908.18,Low,Business Flyer,🧳 Free Checked Bag + Flexible Booking
101486,8,16.375,1,2,0,2,0.075,,189.91,198.5,4.0,1,1972-12-07,F,True,True,usa,tacoma,TCM,47.138,-122.476,2022-02-17,52,1326,0.375,0.0,United Airlines,YED,2.0375,1.1428571428571428,4.0,1.0,0.0,1.0,1.5,1.0,7.9063890625,0.0,1.5,,True,True,1326,3,983.91,1,2,3.0,6.0,Low,2951.73,Low,General - Casual,📰 Newsletter + 10% First Booking Coupon
101961,8,15.75,5,5,0,5,0.15,0.1,248.532,136.0,3.8,5,1980-09-14,F,True,False,usa,boston,BOS,42.364,-71.005,2022-02-17,45,1326,1.25,0.0,Air New Zealand,BFI,1.9625,1.3333333333333333,4.8,1.0,0.4,1.0,1.0,1.0,6.4113376041666665,0.1,2.0,,True,True,1326,10,765.332,1,5,2.0,8.0,Low,7653.32,High,Loyal Low,✈️ Free Flight Upgrade
106907,8,30.0,1,1,1,2,,,13902.06,129.0,11.0,1,1978-11-17,F,True,True,usa,miami,TNT,25.862,-80.897,2022-02-24,46,1319,0.25,0.5,Air Mauritius,DUR,12.648584435416666,1.1428571428571428,13.0,1.0,5.0,6.0,3.0,0.5,225.0028986111111,0.0,1.0,True,,True,1319,2,15321.06,1,1,5.0,7.0,Low,30642.12,High,Family High Value,👨‍👩‍👧‍👦 Premium Family Package Discount
118043,8,20.5,3,4,0,5,0.2,0.11666666666666667,779.7633333333333,227.25,5.5,3,1972-05-04,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-03-10,53,1305,0.875,0.0,American Airlines,BIF,2.5520833333333335,1.3333333333333333,4.666666666666667,1.0,1.0,2.0,1.25,0.8,8.362851779513889,0.2857142857142857,1.4,,True,True,1305,7,2029.6383333333333,1,4,5.0,10.0,Medium,14207.468333333334,High,Loyal Medium,🏨✈️ 1 Night Free Hotel with Flight Booking
120851,8,6.875,1,1,0,1,0.225,,384.68,182.0,11.0,1,1972-09-25,F,True,True,usa,santa ana,SNA,33.676,-117.868,2022-03-13,53,1302,0.25,0.0,Delta Air Lines,YXD,0.8625,1.3333333333333333,12.0,1.0,0.0,1.0,1.0,1.0,7.703289756944445,0.0,2.0,,,True,1302,2,2386.68,1,1,5.0,7.0,Low,4773.36,Med,General - Moderate Traveler,🤝 Small Partner Discount
125845,9,17.666666666666668,3,3,0,3,0.15,0.05,584.44,123.66666666666667,1.6666666666666667,3,1983-12-01,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-03-19,41,1296,0.6666666666666666,0.0,AirTran Airways,IND,2.196296296296296,1.2857142857142858,3.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,9.313582291666666,0.16666666666666666,2.0,,True,True,1296,6,790.5511111111111,1,4,2.0,7.0,Low,4743.306666666667,Med,Loyal Low,✈️ Free Flight Upgrade
133058,8,9.125,1,0,0,1,,0.05,423.51,,,1,2005-04-07,F,False,False,usa,austin,AUS,30.194,-97.67,2022-03-27,20,1288,0.125,0.0,United Airlines,YHU,1.1354166666666667,1.1428571428571428,4.0,1.0,0.0,1.0,,0.0,,0.0,1.0,,,,1288,1,423.51,1,1,1.0,3.0,Low,423.51,Low,Casual / Inactive,📧 Welcome Back Discount Email
149058,8,17.75,5,5,0,5,0.05,,385.732,168.6,5.0,5,1973-01-22,F,False,True,usa,birmingham,BHM,33.563,-86.753,2022-04-14,52,1270,1.25,0.0,Alaska Airlines,AUS,2.1958333333333333,1.3333333333333333,6.6,1.0,0.4,1.2,1.2,1.0,6.6904559375,0.1,2.0,,True,True,1270,10,1228.732,1,5,4.0,10.0,Medium,12287.32,High,Loyal Medium,🏨✈️ 1 Night Free Hotel with Flight Booking
152583,8,18.625,1,1,0,1,0.15,0.15,367.83,213.0,2.0,1,1986-07-26,F,False,False,usa,colorado springs,COS,38.806,-104.7,2022-04-17,39,1267,0.25,0.0,WestJet,YYZ,2.316666666666667,1.6,5.0,1.0,2.0,1.0,1.0,1.0,8.881534201388888,0.0,2.0,,,,1267,2,793.8299999999999,1,1,2.0,4.0,Low,1587.6599999999999,Low,General - Casual,📰 Newsletter + 10% First Booking Coupon
153982,8,18.75,3,3,0,3,,0.15,218.95666666666668,207.0,1.3333333333333333,2,1978-08-15,F,False,True,canada,toronto,YKZ,43.862,-79.37,2022-04-19,47,1265,0.75,0.0,Spirit Airlines,BWI,2.308333333333333,1.1428571428571428,2.6666666666666665,1.0,0.3333333333333333,1.0,1.0,1.0,9.277678761574075,0.0,2.0,,True,True,1265,6,494.9566666666667,1,4,1.0,6.0,Low,2969.7400000000002,Low,Loyal Low,✈️ Free Flight Upgrade
160754,8,10.75,1,1,0,1,,,93.62,214.0,2.0,1,1977-12-06,F,True,True,usa,new york,LGA,40.777,-73.872,2022-04-26,47,1258,0.25,0.0,Air Canada,YOW,1.3479166666666667,1.6,4.0,1.0,1.0,1.0,1.0,1.0,11.862124305555556,0.0,2.0,,,True,1258,2,521.62,1,1,1.0,3.0,Low,1043.24,Low,General - Casual,📰 Newsletter + 10% First Booking Coupon
164522,8,11.125,1,1,0,1,0.05,0.05,328.32,233.0,13.0,1,1975-11-07,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-04-30,49,1254,0.25,0.0,British Airways,JFK,1.3895833333333334,1.1428571428571428,15.0,1.0,1.0,1.0,1.0,1.0,9.034691145833333,0.5,2.0,,,True,1254,2,3357.32,1,1,5.0,7.0,Low,6714.64,High,Discount Hunter,💸 Special Discount Codes & Flash Deals
167852,8,7.875,0,0,0,0,0.1,0.1,,,,0,2006-02-16,F,False,False,usa,tampa,MCF,27.849,-82.521,2022-05-03,19,1251,0.0,,,,0.9666666666666667,2.0,,,,,,,,,,,,,1251,0,,1,1,,2.0,,,,General Traveler,💌 Generic Travel Promo Code
171470,8,55.75,1,0,2,3,0.1,,2878.25,,,1,1999-09-14,F,False,False,usa,atlanta,ATL,33.64,-84.427,2022-05-06,26,1248,0.125,2.0,Indonesia AirAsia,JHB,30.708333333333332,1.6,14.0,1.0,0.0,1.0,,0.0,,1.0,0.3333333333333333,True,,,1248,1,2878.25,1,1,5.0,7.0,Low,2878.25,Low,Discount Hunter,💸 Special Discount Codes & Flash Deals
174997,8,31.5,2,2,1,3,,0.125,295.215,112.0,2.0,2,1991-11-01,F,False,False,usa,grand rapids,GRR,42.881,-85.523,2022-05-10,33,1244,0.5,0.25,American Airlines,LAX,16.529166666666665,1.1428571428571428,3.5,1.0,0.0,1.0,1.0,0.6666666666666666,8.214673263888889,0.0,1.3333333333333333,,True,,1244,4,519.2149999999999,1,2,1.0,4.0,Low,2076.8599999999997,Low,General - Casual,📰 Newsletter + 10% First Booking Coupon
175032,9,14.11111111111111,2,3,0,3,0.3,0.1,554.625,139.0,4.333333333333333,2,1994-11-05,F,False,False,usa,houston,IAH,29.98,-95.34,2022-05-10,30,1244,0.5555555555555556,0.0,American Airlines,LAS,1.738888888888889,1.2857142857142858,3.5,1.0,0.5,2.0,2.0,1.0,7.549496064814814,0.2,1.6666666666666667,,True,,1244,5,1156.9583333333333,1,3,4.0,8.0,Low,5784.791666666666,Med,Loyal Low,✈️ Free Flight Upgrade
181157,8,19.125,3,3,0,3,0.175,0.15,346.4766666666667,162.33333333333334,3.3333333333333335,3,1970-08-10,F,True,False,usa,houston,HOU,29.645,-95.279,2022-05-15,55,1239,0.75,0.0,Air France,OKC,2.3520833333333333,1.1428571428571428,4.666666666666667,1.0,1.0,2.0,2.0,1.0,6.087199131944445,0.3333333333333333,2.0,,True,True,1239,6,887.5877777777779,1,4,3.0,8.0,Low,5325.526666666668,Med,Loyal Low,✈️ Free Flight Upgrade
182191,8,18.5,0,0,1,1,,0.1,,,,0,2004-09-27,F,False,True,usa,phoenix,PHX,33.434,-112.008,2022-05-16,21,1238,0.0,,,PDX,11.09646615,1.1428571428571428,,,,,,0.0,,,0.0,,,True,1238,0,,1,1,,2.0,,,,Casual / Inactive,📧 Welcome Back Discount Email
187212,8,16.0,3,3,0,3,0.3999999999999999,0.1,414.19,217.33333333333334,2.0,3,1969-02-20,F,True,True,usa,los angeles,LAX,33.942,-118.408,2022-05-21,56,1233,0.75,0.0,American Airlines,JFK,1.9791666666666667,1.3333333333333333,3.3333333333333335,1.0,0.6666666666666666,1.0,1.0,1.0,8.890095023148149,0.0,2.0,,True,True,1233,6,848.8566666666667,1,4,3.0,8.0,Low,5093.14,Med,Loyal Low,✈️ Free Flight Upgrade
189676,8,11.625,1,2,0,2,0.15,,1244.31,180.5,9.0,1,1988-01-10,F,False,True,usa,fort worth,FTW,32.82,-97.362,2022-05-23,37,1231,0.375,0.0,American Airlines,SJC,1.4395833333333334,1.6,6.0,1.0,2.0,3.0,2.0,1.0,4.371993489583334,0.0,1.5,,True,True,1231,3,2868.81,1,2,5.0,8.0,Low,8606.43,High,Last-Minute Spontaneous Booker,⏱️ No Cancellation Fees
190866,9,20.666666666666668,5,5,0,5,,0.05,416.2,169.2,1.8,3,1986-09-24,F,False,False,usa,tallahassee,TLH,30.396,-84.35,2022-05-24,39,1230,1.1111111111111112,0.0,Delta Air Lines,DEN,2.564814814814815,1.2857142857142858,3.2,1.0,0.4,1.0,1.0,1.0,7.946677534722222,0.0,2.0,,True,,1230,10,720.76,1,5,2.0,8.0,Low,7207.6,High,Loyal Low,✈️ Free Flight Upgrade
